"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.8152202517589e-24,2.0292359819935,0.961,0.789,4.2040501030736e-20,"6","MT-ND5"
5.85680121201476e-24,2.18729203971215,0.987,0.924,1.35643516070262e-19,"6","MT-ATP6"
5.22932412639872e-108,4.85586832690022,0.575,0.045,1.21111146767394e-103,"7","HDC"
6.03172620244157e-71,6.06864040228081,0.333,0.021,1.39694778848547e-66,"7","CLC"
1.77033849695855e-68,5.43336623171346,0.258,0.01,4.100103958956e-64,"7","AC111000.4"
2.00896532446757e-64,3.59477712252427,0.483,0.058,4.65276369146688e-60,"7","AC093865.1"
1.18628217620783e-61,5.29451887880894,0.217,0.007,2.74742952009733e-57,"7","CDK15"
1.57537302587847e-60,2.47211339600859,0.975,0.549,3.64856392793454e-56,"7","SLC24A3"
5.75395093956085e-59,3.23709949846956,0.775,0.21,1.33261503760229e-54,"7","IKZF2"
1.39270803053825e-54,4.63874673895047,0.283,0.02,3.22551179872659e-50,"7","MS4A3"
2.19084277368665e-42,4.55222713363046,0.342,0.045,5.07399186385828e-38,"7","PRG2"
6.36893417431082e-39,3.28208126156571,0.35,0.05,1.47504515477039e-34,"7","AFF2"
